Type,BROTEC,ARTTRID,Fire,Topo,D_BOUND,D_ROADS,Topo2,D_BOUND.s,D_ROADS.s,ARTTRID.PA,ARTTRID.mid,BROTEC.PA,BROTEC.mid
Train,1,0,1,0.1418,577.6725509,504.1812977,0.02010724,0.577672551,5.041812977,1,0,0,0.025
Train,2,0,0,0.024,213.1495461,221.084272,0.000576,0.213149546,2.21084272,1,0,0,0.15
Train,5,0,1,0.0253,303.4864465,137.9244746,0.00064009,0.303486447,1.379244746,1,0,0,0.85
Train,5,0,1,0.3019,225.9656914,923.205284,0.09114361,0.225965691,9.23205284,1,0,0,0.85
Train,2,0,1,0.204,112.1129948,1004.321284,0.041616,0.112112995,10.04321284,1,0,0,0.15
Train,2,0,1,0.2628,261.5435495,842.186334,0.06906384,0.26154355,8.42186334,1,0,0,0.15
Train,2,0,1,0.1301,287.2636767,1050.019721,0.01692601,0.287263677,10.50019721,1,0,0,0.15
Train,2,0,1,-0.1405,299.2871501,310.0827203,0.01974025,0.29928715,3.100827203,1,0,0,0.15
Train,2,0,1,-0.0621,83.04183966,569.2918935,0.00385641,0.08304184,5.692918935,1,0,0,0.15
Train,3,0,0,-0.2243,42.34421521,114.3319269,0.05031049,0.042344215,1.143319269,1,0,0,0.375
Train,2,0,0,0.0951,437.4121339,628.0806266,0.00904401,0.437412134,6.280806266,1,0,0,0.15
Train,4,0,1,0.2026,298.0769288,889.1496762,0.04104676,0.298076929,8.891496762,1,0,0,0.625
Train,2,0,1,0.0707,285.7722773,516.5083285,0.00499849,0.285772277,5.165083285,1,0,0,0.15
Train,5,0,0,-0.0711,408.8319661,409.7516102,0.00505521,0.408831966,4.097516102,1,0,0,0.85
Train,2,0,1,-0.1102,137.6706391,841.1387949,0.01214404,0.137670639,8.411387949,1,0,0,0.15
Train,5,0,1,0.1215,32.26315063,862.9676452,0.01476225,0.032263151,8.629676452,1,0,0,0.85
Train,4,0,1,0.0632,64.02672788,491.9993547,0.00399424,0.064026728,4.919993547,1,0,0,0.625
Train,4,0,1,-0.1553,207.5523198,323.4762583,0.02411809,0.20755232,3.234762583,1,0,0,0.625
Train,4,0,1,-0.0136,329.4866632,1326.19645,0.00018496,0.329486663,13.2619645,1,0,0,0.625
Train,3,0,1,-0.1793,545.3254969,257.0479797,0.03214849,0.545325497,2.570479797,1,0,0,0.375
Train,5,0,1,0.1735,24.49632646,1144.383963,0.03010225,0.024496326,11.44383963,1,0,0,0.85
Train,1,0,1,0.0384,502.1392276,762.4747953,0.00147456,0.502139228,7.624747953,1,0,0,0.025
Train,3,0,1,0.0179,52.38261151,260.5014859,0.00032041,0.052382612,2.605014859,1,0,0,0.375
Train,4,0,1,-0.0015,423.9761838,680.853511,2.25E-06,0.423976184,6.80853511,1,0,0,0.625
Train,5,0,1,-0.0012,424.7280348,36.86480705,1.44E-06,0.424728035,0.368648071,1,0,0,0.85
Train,4,0,1,0.01,120.1192089,613.9401499,1.00E-04,0.120119209,6.139401499,1,0,0,0.625
Train,2,0,1,0.2899,50.25624279,1698.24948,0.08404201,0.050256243,16.9824948,1,0,0,0.15
Train,4,0,1,0.0326,180.6755278,118.9916158,0.00106276,0.180675528,1.189916158,1,0,0,0.625
